,time,mode,mixing_accuracy
0,14.958325862884521,pytorch,0.9945342184766561
1,19.042433977127075,numpy,0.9945326732756071
2,14.702004432678223,pytorch,0.9943548342188234
3,19.090616941452026,numpy,0.9943540673022367
4,14.676246881484985,pytorch,0.9943832487972989
5,18.98650074005127,numpy,0.994378022148989
6,14.653205394744873,pytorch,0.9940670386826451
7,19.099001169204712,numpy,0.9940697040812151
8,14.684880018234253,pytorch,0.9943086758156755
9,19.397659301757812,numpy,0.9943038343447528
10,14.682553768157959,pytorch,0.9942373297606828
11,19.0461266040802,numpy,0.9942370228381254
12,14.680164813995361,pytorch,0.9944053871396324
13,18.55072522163391,numpy,0.994408852039964
14,14.645934104919434,pytorch,0.9943615843724344
15,19.659338235855103,numpy,0.9943604626177991
16,14.628105163574219,pytorch,0.9943319736126329
17,19.008068084716797,numpy,0.9943328778691116
18,14.654896020889282,pytorch,0.9944347901660577
19,19.18721032142639,numpy,0.9944353589994607
